EVENT	RDCLASS	SPD_KM	MED_INC	pop_dens_200	veh_type	BAD_WEAT	SEVERITY	DARK	Park_10	hosp_50	veh_mvt	Comm_Per	Res_Per	Inter_Acc
757	5	50	49755	3083.77260459	car	0	1	0	0	0	straight	0.1984867196	62.3038929634	1
387	5	50	45408	4039.50187781	car	0	1	0	0	0	rightturn	6.8329720774	41.5723329268	0
1230	5	50	24360	14052.1476683	car	0	1	0	0	0	leftturn	11.9136387217	62.9587925085	1
536	5	50	34145	10556.3041258	car	0	1	0	0	0	backup	0.659451471	76.8655832177	0
851	5	50	35263	9777.07384638	car	1	1	0	0	0	straight	2.9473625339	75.387960435	0
320	5	50	30648	12824.2711456	car	1	1	0	0	0	straight	1.0956450252	67.5832040823	0
5757	2	80	28915	1230.19600986	VTB	0	2	0	1	0	leftturn	16.1956147646	48.4333716895	1
540	5	50	38656	4190.47988445	car	1	1	0	0	0	straight	1.0376534731	40.5959090682	1
3128	5	50	50944	6324.35397745	car	1	1	1	0	0	straight	0.1459002586	98.2634024041	0
3360	5	50	70524	5248.27449734	car	0	1	0	1	0	straight	14.9482257409	35.3314949451	1
3537	4	60	45408	4039.50187781	car	0	1	0	1	0	straight	5.4457187014	41.6841498472	0
4168	4	60	31483	6369.41822128	VTB	1	1	1	0	0	leftturn	6.9868690389	56.6577353596	1
636	5	50	59293	10694.3222192	VTB	1	1	0	0	0	straight	3.1792702985	70.1618918332	1
5806	2	80	32512	14769.9349114	car	0	1	0	0	0	straight	0.9240822142	69.304856738	1
5441	4	60	29454	7393.5637369	VTB	0	1	0	0	0	leftturn	0.7208215687	60.4346486705	1
2961	5	50	51061	3183.86289476	VTB	0	1	0	0	0	straight	0	35.4603512896	0
4773	4	60	30522	7639.29292288	VTB	1	1	0	0	0	rightturn	7.9787555992	33.8148985185	1
2208	5	50	38654	8443.60943813	car	1	0	0	0	0	other	7.260723937	51.5341786751	0
4396	4	60	27828	11724.1640318	car	0	1	0	0	0	straight	12.8080057517	33.3451901831	0
2176	5	50	27857	15015.0255196	car	0	1	0	0	0	straight	5.3403222638	71.144231387	0
158	5	50	97637	1011.42814052	VTB	0	1	0	0	0	straight	0.1797451961	65.9752708209	0
4266	4	60	30308	9392.58434815	car	1	1	1	0	0	rightturn	1.0239911035	55.0807608544	1
4383	4	60	28104	15890.0923253	car	0	2	1	0	0	backup	1.698598146	57.1351993756	1
3885	4	60	25754	780.352364146	VTB	1	0	0	0	0	backup	0	45.2172495421	0
341	5	50	48585	3767.61763886	car	1	1	1	0	0	other	1.3628397522	38.5096897652	1
4584	4	60	31772	10304.0509411	car	0	0	0	0	0	straight	2.9357260075	83.7717199429	1
2937	5	50	39636	13503.0137295	car	0	1	0	0	0	straight	0.5752064312	80.8805921821	1
2105	5	50	36621	4578.37820157	VTB	0	1	1	0	0	backup	0.8986628048	71.3878323445	0
1142	5	50	28915	1230.19600986	VTB	1	1	0	1	0	leftturn	13.2480457086	42.7202133594	1
3003	5	50	29454	7393.5637369	VTB	0	1	0	0	0	rightturn	2.1255898825	47.4270509215	1
638	5	50	70533	5939.20871645	car	1	1	0	0	0	leftturn	7.2597800058	77.5862971013	1
3115	5	50	53360	3114.50689493	car	1	1	1	1	0	leftturn	0.0007843166	82.0641138185	1
267	5	50	53390	907.478351111	VTB	0	1	0	0	0	straight	0.3658572957	53.4654739061	0
2246	5	50	23266	14465.9625057	car	0	1	0	0	0	rightturn	6.3967575304	50.1473756887	1
211	5	50	56491	4054.81612989	car	0	1	0	1	0	other	0.1840388457	91.2401247882	1
2576	5	50	42274	9578.86839913	VTB	0	1	0	0	0	leftturn	9.3522057471	65.430434648	1
4881	4	60	32467	9997.111363	car	0	1	0	0	0	leftturn	13.2126797051	51.3371297654	1
2465	5	50	40290	7358.3078158	VTB	0	1	0	1	0	leftturn	0.8579897688	35.4021938977	1
1283	5	50	14469	19025.9467284	car	0	1	0	0	0	straight	11.6656254703	76.9465793397	1
499	5	50	36799	4005.39074718	VTB	1	1	0	1	0	straight	0.7907862055	77.5589263098	0
2375	5	50	33418	10204.5796477	car	0	2	0	0	0	straight	8.8451273921	47.6591548298	1
5607	3	60	38165	4437.41511636	car	1	1	1	0	0	leftturn	4.5165259093	55.5040493085	1
2351	5	50	34526	13086.2974481	car	0	1	0	0	0	straight	3.6574750601	73.1770765779	1
5498	4	60	41272	547.793475023	car	1	1	1	0	0	straight	0	7.1640292744	0
1193	5	50	24360	14052.1476683	car	1	1	1	0	0	straight	11.9136387217	62.9587925085	0
5841	2	80	35331	6254.70819587	car	1	1	0	0	0	straight	32.1954383199	63.5239078795	1
4960	4	60	70939	1207.12470587	car	1	1	0	1	0	leftturn	6.5308630556	51.7693362089	1
1861	5	50	28129	11245.82535	car	1	1	0	0	0	straight	7.4712953718	53.9848353571	1
4729	4	60	88975	3498.01812269	car	0	1	0	0	0	straight	19.8391798124	46.2280606716	0
3545	4	60	54781	6111.82695043	car	0	1	0	0	0	leftturn	1.618873683	59.4354727865	1
5212	4	60	41776	5020.3623504	car	0	1	0	0	0	leftturn	61.0242910356	29.5607481135	0
700	5	50	43710	9611.55196352	car	0	1	0	0	0	leftturn	0	64.0108262742	1
5663	3	60	36663	14074.988352	car	0	1	0	0	0	straight	10.4960113175	60.4807047786	0
1966	5	50	40509	7159.37658745	car	1	1	0	0	0	other	6.0522135053	70.6245734343	1
5410	4	60	33169	13791.9118056	car	0	1	0	0	0	rightturn	0.4293263345	65.1166658132	1
5541	4	60	40495	5199.5192791	VTB	0	2	0	0	0	leftturn	1.1938954305	77.7784616129	1
4907	4	60	33808	16226.176833	car	0	0	0	0	0	leftturn	9.3904756883	58.6561684422	1
1887	5	50	35999	3823.07375523	car	0	1	0	1	0	straight	1.150620171	65.6853371076	0
1387	5	50	31483	6369.41822128	car	0	1	0	0	0	straight	3.0178746039	59.3569137211	0
1157	5	50	42723	940.447210252	VTB	0	1	0	0	0	leftturn	20.0941704994	40.9569985405	1
5145	4	60	39931	4613.88417651	VTB	0	1	0	0	0	leftturn	28.78153038	62.8977509003	1
4276	4	60	57911	7445.72266332	car	1	0	0	0	0	leftturn	2.5097718346	74.0505844274	1
5492	4	60	41586	9093.36937973	car	0	1	0	0	0	straight	0	73.3413524813	1
833	5	50	37631	6922.23331346	car	1	1	0	1	0	straight	2.5797543608	63.7998251888	0
2968	5	50	38558	9770.35527031	car	0	1	0	0	0	straight	0.1175074967	80.5219733904	1
627	5	50	39849	9367.50540581	car	0	0	1	0	0	rightturn	1.7525431799	78.1470932513	1
2071	5	50	34965	6239.98167006	car	0	1	0	0	0	backup	1.5602803905	46.5885170818	0
1720	5	50	33902	8115.32968836	car	0	1	0	1	0	straight	4.8384363196	52.4579442482	1
5777	2	80	20606	33751.8121134	car	1	1	1	0	0	leftturn	5.8514483596	51.785616274	1
2647	5	50	23262	18498.8156027	car	1	2	1	0	0	straight	6.5354132359	57.6862496962	1
1784	5	50	33738	14841.989946	car	1	1	1	0	0	straight	4.3352426501	75.557381051	1
818	5	50	37041	9302.61509404	car	1	1	1	0	0	straight	3.1894032638	78.5552159575	1
2637	5	50	37301	10518.142827	car	1	1	0	0	0	straight	3.0512969559	41.3688915301	1
4093	4	60	27786	5138.03814623	VTB	0	1	0	0	0	straight	14.0446295962	47.1453614122	0
1183	5	50	55425	3808.92861065	car	0	1	0	0	0	leftturn	12.9733870752	42.7063545193	1
3104	5	50	27298	7723.9406207	car	0	1	0	1	0	rightturn	0.531855213	42.5619188596	0
3647	4	60	49878	3259.32738469	VTB	1	2	0	0	0	leftturn	1.7128270347	66.8464475316	1
456	5	50	48825	4929.53103589	car	1	2	0	0	0	leftturn	11.846141866	62.5948841079	0
5393	4	60	29454	7393.5637369	car	0	0	0	0	0	rightturn	1.5927995729	56.2019993192	1
3336	5	50	44851	4343.14441644	car	0	2	1	0	0	straight	1.2327872121	57.3600534558	1
725	5	50	44661	3701.75311886	car	1	1	1	0	0	leftturn	22.9767308639	68.0295464329	1
2994	5	50	31989	13551.7139033	car	1	0	0	0	0	other	0.727875223	59.0911242591	1
3112	5	50	45672	6666.06832741	car	0	1	0	0	0	rightturn	2.5131168716	65.5524022822	0
4329	4	60	40626	11566.660142	car	1	3	1	0	0	straight	0	53.5472900245	0
1107	5	50	28915	1230.19600986	car	0	1	1	0	0	backup	20.5351013908	50.7572976462	1
1550	5	50	34079	6821.05880089	VTB	0	1	0	0	0	straight	0.7780211109	44.233962544	1
3500	4	50	56287	230.546788399	car	0	1	0	0	0	straight	0	0	0
4087	4	60	21171	7201.25206394	VTB	0	1	0	0	0	backup	9.3805338171	50.5960024933	0
1181	5	50	33193	7082.66265326	car	1	2	0	0	0	leftturn	12.2823499443	63.6578375701	1
2887	5	50	37795	6179.71284467	car	1	1	1	0	0	leftturn	0.9840007533	65.1031036067	1
3000	5	50	37704	14669.0461574	car	1	1	0	0	0	straight	0.5055718757	39.0489000437	1
1191	5	50	70524	5248.27449734	VTB	0	1	0	0	0	straight	15.9107064896	41.2858832279	0
2684	5	50	32591	4967.93237601	VTB	0	1	1	0	0	leftturn	0	65.2497960409	1
5415	4	60	33169	13791.9118056	VTB	1	1	0	0	0	backup	0.8213779101	73.0079918174	0
4874	4	60	33418	10204.5796477	car	1	2	1	0	0	leftturn	9.2167427765	51.9857890426	1
3956	4	60	13024	4939.11686641	VTB	1	1	1	0	0	leftturn	22.3258071267	45.1063013685	1
5456	4	60	58389	2446.53031809	car	0	1	1	0	0	straight	0	77.5347507417	1
157	5	50	69041	2570.6181981	car	1	1	0	0	0	straight	1.1942766873	94.3759159925	1
1729	5	50	33902	8115.32968836	car	1	0	0	0	0	straight	2.3773374058	64.2679533015	1
2663	5	50	29645	6012.29924312	car	1	1	0	0	0	straight	3.2781542514	62.8254372648	0
2281	5	50	28503	28792.5658274	car	0	1	0	1	0	rightturn	2.3606317806	54.4556641064	1
4646	4	60	31725	8939.32878364	VTB	0	1	0	0	0	straight	3.3177502666	61.06875249	0
3503	4	60	74033	644.809137383	car	1	1	0	0	0	other	64.1078592973	4.7022793043	1
3235	5	50	41586	9093.36937973	car	0	1	0	0	0	straight	0.1164008104	77.2331726701	1
708	5	50	43710	9611.55196352	car	1	1	1	0	0	straight	2.7154710312	67.6726199092	0
569	5	50	36174	11988.4394332	car	0	2	0	1	0	straight	5.1985970351	73.8402688202	0
2095	5	50	36982	4141.68786818	car	1	1	0	0	0	rightturn	0.9836087246	58.4400866141	1
5700	2	80	38257	6909.58716185	car	1	1	1	0	0	straight	1.0427351189	75.9231944098	1
3844	4	60	30375	7084.67412159	car	0	1	1	0	0	leftturn	4.3222194421	69.6104545037	1
5084	4	60	31549	6956.60541293	car	0	1	0	0	0	rightturn	1.3292038198	48.68360587	1
5909	2	80	59447	4250.17443388	VTB	0	1	0	1	0	leftturn	0.2857365079	70.5609573324	1
2349	5	50	27298	7723.9406207	car	0	1	0	0	0	rightturn	1.4071144661	45.9486855544	1
1180	5	50	33193	7082.66265326	car	0	2	1	0	0	leftturn	11.3660845503	62.8905890237	1
338	5	50	67552	5006.21054906	VTB	0	1	0	0	0	other	0.6360248426	25.9586039101	0
5016	4	60	44515	12445.1474324	car	1	2	1	0	0	straight	9.7074337616	67.5427248666	0
3063	5	50	49374	8100.46171474	VTB	1	2	1	0	0	straight	0	68.7400824311	1
5847	2	80	35331	6254.70819587	VTB	0	1	0	0	0	straight	32.1368596412	63.0033777542	0
4194	4	60	28732	11978.3712007	VTB	0	1	1	0	0	leftturn	1.3847845056	61.9165152749	1
311	5	50	37169	5873.32971196	car	0	1	0	0	0	straight	11.2962344223	70.4625239058	1
4443	4	60	28104	15890.0923253	car	1	1	1	0	0	straight	2.9093838061	67.3294893941	0
4011	4	60	42723	940.447210252	VTB	1	1	1	0	0	leftturn	11.8999806491	44.1021947271	1
1705	5	50	39192	1406.4656225	VTB	0	1	0	0	0	straight	1.4199840884	48.9316127744	0
